Time step,Max. Min-Max Reward
100,-0.996
200,-0.996
300,-0.996
400,-0.995
500,-0.991
600,-0.991
700,-0.991
800,-0.991
900,-0.991
1000,-0.991
1100,-0.991
1200,-0.991
1300,-0.991
1400,-0.991
1500,-0.991
1600,-0.991
1700,-0.991
1800,-0.991
1900,-0.991
2000,-0.991
2100,-0.991
2200,-0.991
2300,-0.991
2400,-0.991
2500,-0.991
2600,-0.991
2700,-0.991
2800,-0.991
2900,-0.991
3000,-0.991
3100,-0.991
3200,-0.991
3300,-0.991
3400,-0.991
3500,-0.991
3600,-0.991
3700,-0.991
3800,-0.991
3900,-0.991
4000,-0.991
4100,-0.991
4200,-0.991
4300,-0.991
4400,-0.991
4500,-0.991
4600,-0.991
4700,-0.991
4800,-0.991
4900,-0.991
5000,-0.991
5100,-0.991
5200,-0.991
5300,-0.991
5400,-0.991
5500,-0.991
5600,-0.991
5700,-0.991
5800,-0.991
5900,-0.991
6000,-0.991
6100,-0.991
6200,-0.991
6300,-0.991
6400,-0.991
6500,-0.991
6600,-0.991
6700,-0.991
6800,-0.991
6900,-0.991
7000,-0.991
7100,-0.991
7200,-0.991
7300,-0.991
7400,-0.991
7500,-0.991
7600,-0.991
7700,-0.991
7800,-0.991
7900,-0.991
8000,-0.991
8100,-0.991
8200,-0.991
8300,-0.991
8400,-0.991
8500,-0.991
8600,-0.991
8700,-0.991
8800,-0.991
8900,-0.991
9000,-0.991
9100,-0.991
9200,-0.991
9300,-0.991
9400,-0.991
9500,-0.991
9600,-0.991
9700,-0.991
9800,-0.991
9900,-0.991
10000,-0.991
10100,-0.991
10200,-0.991
10300,-0.991
10400,-0.991
10500,-0.991
10600,-0.991
10700,-0.991
10800,-0.991
10900,-0.991
11000,-0.991
11100,-0.991
11200,-0.991
11300,-0.991
11400,-0.991
11500,-0.991
11600,-0.991
11700,-0.991
11800,-0.991
11900,-0.991
12000,-0.991
12100,-0.991
12200,-0.991
12300,-0.991
12400,-0.991
12500,-0.991
12600,-0.991
12700,-0.991
12800,-0.991
12900,-0.991
13000,-0.991
13100,-0.991
13200,-0.991
13300,-0.991
13400,-0.991
13500,-0.991
13600,-0.991
13700,-0.991
13800,-0.991
13900,-0.991
14000,-0.991
14100,-0.991
14200,-0.991
14300,-0.991
14400,-0.991
14500,-0.991
14600,-0.991
14700,-0.991
14800,-0.991
14900,-0.991
15000,-0.991
15100,-0.991
15200,-0.991
15300,-0.991
15400,-0.991
15500,-0.991
15600,-0.991
15700,-0.991
15800,-0.991
15900,-0.991
16000,-0.991
16100,-0.991
16200,-0.991
16300,-0.991
16400,-0.991
16500,-0.991
16600,-0.991
16700,-0.991
16800,-0.991
16900,-0.991
17000,-0.991
17100,-0.991
17200,-0.991
17300,-0.991
17400,-0.991
17500,-0.991
17600,-0.991
17700,-0.991
17800,-0.991
17900,-0.991
18000,-0.991
18100,-0.991
18200,-0.991
18300,-0.991
18400,-0.991
18500,-0.991
18600,-0.991
18700,-0.991
18800,-0.991
18900,-0.991
19000,-0.991
19100,-0.991
19200,-0.991
19300,-0.991
19400,-0.991
19500,-0.991
19600,-0.991
19700,-0.991
19800,-0.991
19900,-0.991
20000,-0.991
20100,-0.991
20200,-0.991
20300,-0.991
20400,-0.991
20500,-0.991
20600,-0.991
20700,-0.991
20800,-0.991
20900,-0.991
21000,-0.991
21100,-0.991
21200,-0.991
21300,-0.991
21400,-0.991
21500,-0.991
21600,-0.991
21700,-0.991
21800,-0.991
21900,-0.991
22000,-0.991
22100,-0.991
22200,-0.991
22300,-0.991
22400,-0.991
22500,-0.991
22600,-0.991
22700,-0.991
22800,-0.991
22900,-0.991
23000,-0.991
23100,-0.991
23200,-0.991
23300,-0.991
23400,-0.991
23500,-0.991
23600,-0.991
23700,-0.991
23800,-0.991
23900,-0.991
24000,-0.991
24100,-0.991
24200,-0.99
