Time step,Max. Min-Max Reward
100,-0.977
200,-0.977
300,-0.977
400,-0.977
500,-0.977
600,-0.977
700,-0.977
800,-0.977
900,-0.977
1000,-0.977
1100,-0.977
1200,-0.977
1300,-0.977
1400,-0.977
1500,-0.977
1600,-0.977
1700,-0.977
1800,-0.977
1900,-0.976
2000,-0.976
2100,-0.976
2200,-0.976
2300,-0.976
2400,-0.976
2500,-0.976
2600,-0.976
2700,-0.976
2800,-0.976
2900,-0.976
3000,-0.976
3100,-0.976
3200,-0.976
3300,-0.976
3400,-0.976
3500,-0.976
3600,-0.976
3700,-0.976
3800,-0.976
3900,-0.976
4000,-0.976
4100,-0.976
4200,-0.976
4300,-0.976
4400,-0.976
4500,-0.976
4600,-0.976
4700,-0.976
4800,-0.976
4900,-0.976
5000,-0.976
5100,-0.976
5200,-0.976
5300,-0.976
5400,-0.976
5500,-0.976
5600,-0.976
5700,-0.976
5800,-0.976
5900,-0.976
6000,-0.976
6100,-0.976
6200,-0.976
6300,-0.976
6400,-0.976
6500,-0.976
6600,-0.976
6700,-0.976
6800,-0.976
6900,-0.976
7000,-0.976
7100,-0.976
7200,-0.976
7300,-0.976
7400,-0.976
7500,-0.976
7600,-0.976
7700,-0.976
7800,-0.976
7900,-0.976
8000,-0.976
8100,-0.976
8200,-0.976
8300,-0.976
8400,-0.976
8500,-0.976
8600,-0.976
8700,-0.976
8800,-0.976
8900,-0.976
9000,-0.976
9100,-0.976
9200,-0.976
9300,-0.976
9400,-0.976
9500,-0.976
9600,-0.976
9700,-0.976
9800,-0.976
9900,-0.976
10000,-0.976
10100,-0.976
10200,-0.976
10300,-0.976
10400,-0.976
10500,-0.976
10600,-0.976
10700,-0.976
10800,-0.976
10900,-0.976
11000,-0.976
11100,-0.976
11200,-0.976
11300,-0.976
11400,-0.976
11500,-0.976
11600,-0.976
11700,-0.976
11800,-0.976
11900,-0.976
12000,-0.976
12100,-0.976
12200,-0.976
12300,-0.976
12400,-0.976
12500,-0.976
12600,-0.976
12700,-0.976
12800,-0.976
12900,-0.976
13000,-0.976
13100,-0.976
13200,-0.976
13300,-0.976
13400,-0.976
13500,-0.976
13600,-0.976
13700,-0.976
13800,-0.976
13900,-0.976
14000,-0.976
14100,-0.976
14200,-0.976
14300,-0.976
14400,-0.976
14500,-0.976
14600,-0.976
14700,-0.976
14800,-0.976
14900,-0.976
15000,-0.976
15100,-0.976
15200,-0.976
15300,-0.976
15400,-0.976
15500,-0.976
15600,-0.976
15700,-0.976
15800,-0.976
15900,-0.976
16000,-0.976
16100,-0.976
16200,-0.976
16300,-0.976
16400,-0.976
16500,-0.976
16600,-0.976
16700,-0.976
16800,-0.976
16900,-0.976
17000,-0.976
17100,-0.976
17200,-0.976
17300,-0.976
17400,-0.976
17500,-0.976
17600,-0.976
17700,-0.976
17800,-0.976
17900,-0.976
18000,-0.976
18100,-0.976
18200,-0.976
18300,-0.976
18400,-0.976
18500,-0.976
18600,-0.976
18700,-0.976
18800,-0.976
18900,-0.976
19000,-0.976
19100,-0.976
19200,-0.976
19300,-0.976
19400,-0.976
19500,-0.976
19600,-0.976
19700,-0.976
19800,-0.976
19900,-0.976
20000,-0.976
20100,-0.976
20200,-0.976
20300,-0.976
20400,-0.976
20500,-0.976
20600,-0.976
20700,-0.976
20800,-0.976
20900,-0.976
21000,-0.976
21100,-0.976
21200,-0.976
21300,-0.976
21400,-0.976
21500,-0.976
21600,-0.976
21700,-0.976
21800,-0.976
21900,-0.976
22000,-0.976
22100,-0.976
22200,-0.976
22300,-0.976
22400,-0.976
22500,-0.976
22600,-0.976
22700,-0.976
22800,-0.976
22900,-0.976
23000,-0.976
23100,-0.976
23200,-0.976
23300,-0.976
23400,-0.976
23500,-0.976
23600,-0.976
23700,-0.976
23800,-0.976
23900,-0.976
24000,-0.976
24100,-0.976
24200,-0.976
24300,-0.976
24400,-0.976
24500,-0.976
24600,-0.976
24700,-0.976
24800,-0.976
24900,-0.976
25000,-0.976
25100,-0.976
25200,-0.976
25300,-0.976
25400,-0.976
25500,-0.976
25600,-0.976
25700,-0.976
25800,-0.976
25900,-0.976
26000,-0.976
26100,-0.976
26200,-0.976
26300,-0.976
26400,-0.976
26500,-0.976
26600,-0.976
26700,-0.976
26800,-0.976
26900,-0.976
27000,-0.976
27100,-0.976
27200,-0.976
27300,-0.976
27400,-0.976
27500,-0.976
27600,-0.976
27700,-0.976
27800,-0.976
27900,-0.976
28000,-0.976
28100,-0.976
28200,-0.976
28300,-0.976
28400,-0.976
28500,-0.976
28600,-0.976
28700,-0.976
28800,-0.976
28900,-0.976
29000,-0.976
29100,-0.976
29200,-0.976
29300,-0.976
29400,-0.976
29500,-0.976
29600,-0.976
29700,-0.976
29800,-0.976
29900,-0.976
30000,-0.976
30100,-0.976
30200,-0.976
30300,-0.976
30400,-0.976
30500,-0.976
30600,-0.976
30700,-0.976
30800,-0.976
30900,-0.976
31000,-0.976
31100,-0.976
31200,-0.976
31300,-0.976
31400,-0.976
31500,-0.976
31600,-0.976
31700,-0.976
31800,-0.976
31900,-0.976
32000,-0.976
32100,-0.976
32200,-0.976
32300,-0.976
32400,-0.976
32500,-0.976
32600,-0.976
32700,-0.976
32800,-0.976
32900,-0.976
33000,-0.976
33100,-0.976
33200,-0.976
33300,-0.976
33400,-0.976
33500,-0.976
33600,-0.976
33700,-0.976
33800,-0.976
33900,-0.976
34000,-0.976
34100,-0.976
34200,-0.976
34300,-0.976
34400,-0.976
34500,-0.976
34600,-0.976
34700,-0.976
34800,-0.976
34900,-0.976
35000,-0.976
35100,-0.976
35200,-0.976
35300,-0.976
35400,-0.976
35500,-0.976
35600,-0.976
35700,-0.976
35800,-0.976
35900,-0.976
36000,-0.976
36100,-0.976
36200,-0.976
36300,-0.976
36400,-0.976
36500,-0.976
36600,-0.976
36700,-0.976
36800,-0.976
36900,-0.976
37000,-0.976
37100,-0.976
37200,-0.976
37300,-0.976
37400,-0.976
37500,-0.976
37600,-0.976
37700,-0.976
37800,-0.976
37900,-0.976
38000,-0.976
38100,-0.976
38200,-0.976
38300,-0.976
38400,-0.976
38500,-0.976
38600,-0.976
38700,-0.976
38800,-0.976
38900,-0.976
39000,-0.976
39100,-0.976
39200,-0.976
39300,-0.976
39400,-0.976
39500,-0.976
39600,-0.976
39700,-0.976
39800,-0.976
39900,-0.976
40000,-0.976
40100,-0.976
40200,-0.976
40300,-0.976
40400,-0.976
40500,-0.976
40600,-0.976
40700,-0.976
40800,-0.976
40900,-0.976
41000,-0.976
41100,-0.976
41200,-0.976
41300,-0.976
41400,-0.976
41500,-0.976
41600,-0.976
41700,-0.976
41800,-0.976
41900,-0.976
42000,-0.976
42100,-0.976
42200,-0.976
42300,-0.976
42400,-0.976
42500,-0.976
42600,-0.976
42700,-0.976
42800,-0.976
42900,-0.976
43000,-0.976
43100,-0.976
43200,-0.976
43300,-0.976
43400,-0.976
43500,-0.976
43600,-0.976
43700,-0.976
43800,-0.976
43900,-0.976
44000,-0.976
44100,-0.976
44200,-0.976
44300,-0.976
44400,-0.976
44500,-0.976
44600,-0.976
44700,-0.976
44800,-0.976
44900,-0.976
45000,-0.976
45100,-0.976
45200,-0.976
45300,-0.976
45400,-0.976
45500,-0.976
45600,-0.976
45700,-0.976
45800,-0.976
45900,-0.976
46000,-0.976
46100,-0.976
46200,-0.976
46300,-0.976
46400,-0.976
46500,-0.976
46600,-0.976
46700,-0.976
46800,-0.976
46900,-0.976
47000,-0.976
47100,-0.976
47200,-0.976
47300,-0.976
47400,-0.976
47500,-0.976
47600,-0.976
47700,-0.976
47800,-0.976
47900,-0.976
48000,-0.976
48100,-0.976
48200,-0.976
48300,-0.976
48400,-0.976
48500,-0.976
48600,-0.976
48700,-0.976
48800,-0.976
48900,-0.976
49000,-0.976
49100,-0.976
49200,-0.976
49300,-0.976
49400,-0.976
49500,-0.976
49600,-0.976
49700,-0.976
49800,-0.976
49900,-0.976
50000,-0.976
50100,-0.976
50200,-0.976
50300,-0.976
50400,-0.976
50500,-0.976
50600,-0.976
50700,-0.976
50800,-0.976
50900,-0.976
51000,-0.976
51100,-0.976
51200,-0.976
51300,-0.976
51400,-0.976
51500,-0.976
51600,-0.976
51700,-0.976
51800,-0.976
51900,-0.976
52000,-0.976
52100,-0.976
52200,-0.976
52300,-0.976
52400,-0.976
52500,-0.976
52600,-0.976
52700,-0.976
52800,-0.976
52900,-0.976
53000,-0.976
53100,-0.976
53200,-0.976
53300,-0.976
53400,-0.976
53500,-0.976
53600,-0.976
53700,-0.976
53800,-0.976
53900,-0.976
54000,-0.976
54100,-0.976
54200,-0.976
54300,-0.976
54400,-0.976
54500,-0.976
54600,-0.976
54700,-0.976
54800,-0.976
54900,-0.976
55000,-0.976
55100,-0.976
55200,-0.976
55300,-0.976
55400,-0.976
55500,-0.976
55600,-0.976
55700,-0.976
55800,-0.976
55900,-0.976
56000,-0.976
56100,-0.976
56200,-0.976
56300,-0.976
56400,-0.976
56500,-0.976
56600,-0.976
56700,-0.976
56800,-0.976
56900,-0.976
57000,-0.976
57100,-0.976
57200,-0.976
57300,-0.976
57400,-0.976
57500,-0.976
57600,-0.976
57700,-0.976
57800,-0.976
57900,-0.976
58000,-0.976
58100,-0.976
58200,-0.976
58300,-0.976
58400,-0.976
58500,-0.976
58600,-0.976
58700,-0.976
58800,-0.976
58900,-0.976
59000,-0.976
59100,-0.976
59200,-0.976
59300,-0.976
59400,-0.976
59500,-0.976
59600,-0.976
59700,-0.976
59800,-0.976
59900,-0.976
60000,-0.976
60100,-0.976
60200,-0.976
60300,-0.976
60400,-0.976
60500,-0.976
60600,-0.976
60700,-0.976
60800,-0.976
60900,-0.976
61000,-0.976
61100,-0.976
61200,-0.976
61300,-0.976
61400,-0.976
61500,-0.976
61600,-0.976
61700,-0.976
61800,-0.976
61900,-0.976
62000,-0.976
62100,-0.976
62200,-0.976
62300,-0.976
62400,-0.976
62500,-0.976
62600,-0.976
62700,-0.976
62800,-0.976
62900,-0.976
63000,-0.976
63100,-0.976
63200,-0.976
63300,-0.976
63400,-0.976
63500,-0.976
63600,-0.976
63700,-0.976
63800,-0.976
63900,-0.976
64000,-0.976
64100,-0.976
64200,-0.976
64300,-0.976
64400,-0.976
64500,-0.976
64600,-0.976
64700,-0.976
64800,-0.976
64900,-0.976
65000,-0.976
65100,-0.976
65200,-0.976
65300,-0.976
65400,-0.976
65500,-0.976
65600,-0.976
65700,-0.976
65800,-0.976
65900,-0.976
66000,-0.976
66100,-0.976
66200,-0.976
66300,-0.976
66400,-0.976
66500,-0.976
66600,-0.976
66700,-0.976
66800,-0.976
66900,-0.976
67000,-0.976
67100,-0.976
67200,-0.976
67300,-0.976
67400,-0.976
67500,-0.976
67600,-0.976
67700,-0.976
67800,-0.976
67900,-0.976
68000,-0.976
68100,-0.976
