Time step,Max. Reward,Max. Mismatch Reward
100,4.175,3.788
200,4.175,4.452
300,4.175,4.452
400,4.175,4.452
500,4.175,4.452
600,4.21,4.452
700,4.21,4.452
800,4.21,4.452
900,4.328,4.452
1000,4.328,4.452
1100,6.627,5.398
1200,6.627,5.398
1300,6.627,5.398
1400,6.627,5.398
1500,6.627,5.398
1600,6.627,5.398
1700,6.627,5.398
1800,6.627,5.398
1900,6.627,5.398
2000,6.627,5.398
2100,6.627,5.398
2200,6.627,5.398
2300,6.627,5.398
2400,6.627,5.398
2500,6.627,5.398
2600,6.627,5.398
2700,6.627,5.398
2800,6.627,5.398
2900,6.627,5.398
3000,6.627,5.398
3100,6.627,5.398
3200,6.627,5.825
3300,6.627,5.825
3400,6.627,5.825
3500,6.627,5.825
3600,6.627,5.825
3700,6.627,5.825
3800,6.627,5.825
3900,6.627,5.825
4000,6.627,5.825
4100,6.627,5.825
4200,6.627,5.825
4300,6.627,5.825
4400,6.627,5.825
4500,6.627,5.825
4600,6.627,5.825
4700,6.627,5.825
4800,6.627,5.825
4900,6.627,5.825
5000,6.627,5.825
5100,6.627,5.825
5200,6.627,5.825
5300,6.627,5.825
5400,6.627,5.825
5500,6.627,5.825
5600,6.627,5.825
5700,6.627,5.825
5800,6.627,5.825
5900,6.627,5.825
6000,6.627,5.825
6100,6.627,5.825
6200,6.627,5.825
6300,6.627,5.825
6400,6.627,5.825
6500,6.627,5.825
6600,6.627,5.825
6700,6.627,5.825
6800,6.627,5.825
6900,6.627,5.825
7000,6.627,5.825
7100,6.627,5.825
7200,6.627,5.825
7300,6.627,5.825
7400,6.627,5.825
7500,6.627,5.825
7600,6.627,5.825
7700,6.627,5.825
7800,6.627,5.825
7900,6.627,5.825
8000,6.627,5.825
8100,6.627,5.825
8200,6.627,5.825
8300,6.627,5.825
8400,6.627,5.825
8500,6.627,5.825
8600,6.627,5.825
8700,6.627,5.825
8800,6.627,5.825
8900,6.627,5.825
9000,6.627,5.825
9100,6.627,5.825
9200,6.627,5.825
9300,6.627,5.825
9400,6.627,5.825
9500,6.627,5.825
9600,6.627,6.41
9700,6.627,6.41
9800,6.627,6.41
9900,6.627,6.41
10000,6.627,6.5
10100,6.627,6.5
10200,6.627,6.5
10300,6.627,6.5
10400,6.627,6.5
10500,6.627,6.5
10600,6.627,6.5
10700,6.627,6.5
10800,6.627,6.5
10900,6.627,6.5
11000,6.627,6.5
11100,6.627,6.5
11200,6.627,6.5
11300,6.627,6.5
11400,6.627,6.5
11500,6.627,6.5
11600,6.627,6.5
11700,6.627,6.5
11800,6.627,6.5
11900,6.627,6.5
12000,6.627,6.5
12100,6.627,6.5
12200,6.627,6.5
12300,6.627,6.5
12400,6.627,6.5
12500,6.627,6.5
12600,6.627,6.5
12700,6.627,6.5
12800,6.627,6.5
12900,6.627,6.5
13000,6.627,6.5
13100,6.627,6.5
13200,6.627,6.5
13300,6.627,6.5
13400,6.627,6.5
13500,6.627,6.5
13600,6.627,6.5
13700,6.627,6.5
13800,6.627,6.5
13900,6.627,6.5
14000,6.627,6.5
14100,6.627,6.5
14200,6.627,6.5
14300,6.627,6.5
14400,6.627,6.5
14500,6.627,6.5
14600,6.627,6.5
14700,6.627,6.5
14800,6.627,6.5
14900,6.627,6.5
15000,6.627,6.5
15100,6.627,6.5
15200,6.627,6.5
15300,6.627,6.5
15400,6.627,6.5
15500,6.627,6.5
15600,6.627,6.5
15700,6.627,6.5
15800,6.627,6.5
15900,6.627,6.5
16000,6.627,6.5
16100,6.627,6.5
16200,6.627,6.5
16300,6.627,6.5
16400,6.627,6.5
16500,6.627,6.886
16600,6.627,6.886
16700,6.627,6.886
16800,6.627,6.886
16900,7.251,6.886
17000,7.251,6.886
17100,7.251,6.886
17200,7.251,6.886
17300,7.251,6.886
17400,7.251,6.886
17500,7.251,6.886
17600,7.251,6.886
17700,7.251,6.886
17800,7.251,6.886
17900,7.251,6.886
18000,7.251,6.886
18100,7.251,6.886
18200,7.251,6.886
18300,7.251,6.886
18400,7.251,6.886
18500,7.251,6.886
18600,7.251,6.886
18700,7.251,6.886
18800,7.251,6.886
18900,7.251,6.886
19000,7.251,6.886
19100,7.251,6.886
19200,7.251,6.886
19300,7.251,6.886
19400,7.251,6.886
19500,7.497,7.54
19600,7.497,7.54
19700,7.497,7.54
19800,7.497,7.54
19900,7.497,7.54
20000,7.497,7.54
