L (RIS Elements),System Total Rate,User 1,User 2,User 3,User 4,Outages
L = 4,7.54 bps/Hz,0.39,0.91,5.45,0.79,3 users starved
L = 16,14.32 bps/Hz,0.67,2.97,8.42,2.26,1 users starved
